,feat,avg_imp
328,x_54lmt_mean,0.00023407655
329,x_48,0.00023036814
330,x_12,0.0002296125
331,x_27,0.00022714198
332,x_69lmt_std,0.00022668947
333,x_16wk_cnt,0.00022576761
334,x_53lmt_mean,0.00022556714
335,x_14lmt_max,0.0002254217
336,x_48lmt_mean,0.00022444304
337,x_69lmt_mean,0.00022155717
338,x_69,0.00022029644
339,x_66lmt_max,0.00021408456
340,x_51lmt_max,0.0002104545
341,weekday,0.00021037059
342,x_29lmt_min,0.00020819099
343,x_51lmt_mean,0.0002042274
344,x_44wk_cnt,0.00020197601
345,lmtweekday_nunique,0.00020144883
346,x_27lmt_std,0.00020093363
347,ncloseCreditCardlmt_max,0.00019992687
348,x_71,0.0001906206
349,x_29,0.00018858962
350,x_69wk_cnt,0.00018726711
351,x_27lmt_mean,0.0001852802
352,x_53,0.00018307549
353,x_51lmt_std,0.00018252083
354,ncloseCreditCard,0.00017856728
355,x_43lmt_mean,0.00017005921
356,x_64lmt_mean,0.00016941817
357,x_64lmt_std,0.00016887876
358,linkRelaweekday_nunique1,0.0001656973
359,x_65lmt_std,0.00016267694
360,x_63,0.00015806791
361,x_74lmt_mean,0.00015126207
362,x_50lmt_mean,0.00014678831
363,x_74lmt_max,0.00014258074
364,x_50,0.00013934763
365,x_55lmt_max,0.00013524406
366,x_74,0.00013423621
367,x_73lmt_std,0.00013367718
368,weekday_count1,0.00012834788
369,x_30hour_cnt,0.00012022061
370,x_26lmt_mean,0.00011887211
371,x_66lmt_std,0.00011840026
372,x_50lmt_std,0.00011720508
373,x_29lmt_mean,0.00011474113
374,x_71lmt_std,0.00011396988
375,x_66,0.00010126373
376,x_73lmt_max,9.9410085e-05
377,x_30wk_cnt,9.8244556e-05
378,x_56,9.457093e-05
379,x_20lmt_std,9.250686e-05
380,x_62,9.2081624e-05
381,x_44lmt_mean,9.092032e-05
382,x_26lmt_std,8.9812806e-05
383,x_69lmt_max,8.922974e-05
384,x_12lmt_std,8.783517e-05
385,5yearBadloanhour_cnt,8.625894e-05
386,x_29lmt_max,8.499737e-05
387,x_48lmt_std,8.1708684e-05
388,x_68lmt_max,8.0403894e-05
389,x_14lmt_std,7.9967715e-05
390,x_53lmt_std,7.004929e-05
391,x_47lmt_max,6.538817e-05
392,x_54lmt_std,6.3732296e-05
393,x_76lmt_mean,6.305832e-05
394,x_76lmt_std,5.8750105e-05
395,5yearBadloanwk_cnt,5.3137694e-05
396,x_16lmt_mean,5.26016e-05
397,x_61lmt_max,5.0678373e-05
398,x_28lmt_min,4.9911585e-05
399,x_73lmt_mean,4.9751594e-05
400,x_61,4.8621434e-05
401,x_61lmt_mean,4.216427e-05
402,x_44lmt_min,4.1365092e-05
403,x_31hour_cnt,3.8814433e-05
404,x_44lmt_max,3.863567e-05
405,x_49lmt_mean,3.4931843e-05
406,loanProduct_1,2.1604923e-05
407,x_16,2.1247291e-05
408,unpayIndvLoanlmt_std,1.9613106e-05
409,loanProduct_3,1.5878366e-05
410,x_44lmt_std,1.5364458e-05
411,ncloseCreditCardlmt_mean,1.3217507e-05
412,x_35,1.15359235e-05
